symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
MATIC,1674777600000,1.12400000,1.19000000,1.06220000,1.15880000,161355791.90000000,1674863999999,180539910.36130000,453730,79964774.30000000,89515339.50031000,0
MATIC,1674864000000,1.15830000,1.16940000,1.09100000,1.14420000,104492642.80000000,1674950399999,118625062.25957000,287381,50481487.10000000,57289653.41311000,0
MATIC,1674950400000,1.14420000,1.20000000,1.12840000,1.17800000,103374340.40000000,1675036799999,120614963.96358000,282338,49554743.60000000,57834620.36268000,0
MATIC,1675036800000,1.17820000,1.18000000,1.06500000,1.08750000,105616115.30000000,1675123199999,117923312.61559000,293227,50557531.10000000,56371621.96486000,0
MATIC,1675123200000,1.08740000,1.12320000,1.07740000,1.10940000,63558466.30000000,1675209599999,69992359.82299000,187892,31921680.40000000,35164895.23452000,0
MATIC,1675209600000,1.10950000,1.20560000,1.06770000,1.19370000,104083715.10000000,1675295999999,117093317.60658000,312184,52970455.40000000,59675868.88972000,0
MATIC,1675296000000,1.19370000,1.25710000,1.17450000,1.18100000,133565522.10000000,1675382399999,163775460.97889000,393303,67553278.20000000,82855336.80038000,0
MATIC,1675382400000,1.18130000,1.25380000,1.16620000,1.24600000,111965351.40000000,1675468799999,135208372.37570000,301752,54828517.60000000,66196924.48309000,0
MATIC,1675468800000,1.24580000,1.28410000,1.21550000,1.25450000,78517005.30000000,1675555199999,98043696.71857000,240939,37767834.50000000,47155753.11404000,0
MATIC,1675555200000,1.25450000,1.25990000,1.18360000,1.20280000,85406278.80000000,1675641599999,103813397.76986000,238999,39249735.60000000,47705736.99096000,0
MATIC,1675641600000,1.20280000,1.23780000,1.17260000,1.19100000,59505122.90000000,1675727999999,71782201.41916000,185251,28658161.90000000,34579320.73198000,0
MATIC,1675728000000,1.19120000,1.27170000,1.18770000,1.26990000,78250257.80000000,1675814399999,96584445.51750000,235354,39075446.80000000,48239799.43326000,0
MATIC,1675814400000,1.26980000,1.35220000,1.25440000,1.30620000,131414783.70000000,1675900799999,170679068.05999000,420139,65894944.80000000,85601464.63065000,0
MATIC,1675900800000,1.30630000,1.34900000,1.20150000,1.22970000,175003437.30000000,1675987199999,224889150.58804000,549639,86680432.40000000,111402533.25281000,0
MATIC,1675987200000,1.22950000,1.31360000,1.21060000,1.22980000,146245466.10000000,1676073599999,185373557.84733000,458925,70398989.00000000,89261945.68433000,0
MATIC,1676073600000,1.22970000,1.25760000,1.21300000,1.24930000,67441924.30000000,1676159999999,83404956.94864000,208467,32087354.20000000,39687404.09148000,0
MATIC,1676160000000,1.24930000,1.30320000,1.22110000,1.23600000,78834152.50000000,1676246399999,100135555.08716000,244222,38873880.60000000,49399469.86738000,0
MATIC,1676246400000,1.23600000,1.24380000,1.13650000,1.18510000,119907523.00000000,1676332799999,141872464.92248000,336661,56801148.10000000,67194950.07397000,0
MATIC,1676332800000,1.18490000,1.26020000,1.15600000,1.25790000,123684987.30000000,1676419199999,149598971.18264000,323260,62828893.30000000,76092362.84671000,0
MATIC,1676419200000,1.25800000,1.33300000,1.23250000,1.32830000,87915959.80000000,1676505599999,112401469.73247000,265640,45536505.50000000,58236537.17626000,0
MATIC,1676505600000,1.32820000,1.46690000,1.31910000,1.37110000,182353199.10000000,1676591999999,253546744.05445000,586293,91292364.50000000,126839335.03942000,0
MATIC,1676592000000,1.37120000,1.54960000,1.36930000,1.52390000,183569259.10000000,1676678399999,267801660.84646000,603162,93252147.50000000,135991078.29668000,0
MATIC,1676678400000,1.52380000,1.56810000,1.47340000,1.48470000,96263833.50000000,1676764799999,146575287.20971000,328051,48230884.70000000,73451839.87792000,0
